# Archivo de prueba — 100 procesos
# Formato: Nombre,TiempoLlegada,TiempoRafaga
# Generado para CPU Proceso Dinamico

P1,0,1
P2,2,8
P3,3,5
P4,3,22
P5,7,3
P6,11,14
P7,11,1
P8,11,7
P9,12,17
P10,16,1
P11,20,7
P12,24,14
P13,25,15
P14,29,9
P15,29,25
P16,30,23
P17,33,11
P18,35,5
P19,36,25
P20,38,4
P21,38,13
P22,38,12
P23,40,20
P24,42,26
P25,42,24
P26,45,18
P27,45,30
P28,48,3
P29,52,10
P30,56,29
P31,58,19
P32,59,23
P33,59,2
P34,60,25
P35,62,3
P36,63,28
P37,63,13
P38,65,15
P39,67,6
P40,69,12
P41,70,22
P42,72,23
P43,72,20
P44,73,18
P45,74,6
P46,77,13
P47,79,30
P48,83,8
P49,85,27
P50,85,8
P51,85,26
P52,87,13
P53,89,3
P54,90,30
P55,94,29
P56,96,7
P57,99,13
P58,102,5
P59,104,5
P60,105,24
P61,109,18
P62,111,24
P63,115,14
P64,119,13
P65,121,8
P66,122,17
P67,125,3
P68,125,28
P69,125,5
P70,126,26
P71,129,20
P72,129,13
P73,132,20
P74,135,17
P75,137,18
P76,137,22
P77,137,22
P78,141,25
P79,143,25
P80,145,4
P81,147,14
P82,148,15
P83,148,24
P84,150,17
P85,151,17
P86,151,28
P87,153,27
P88,157,20
P89,158,5
P90,160,25
P91,161,18
P92,165,30
P93,165,20
P94,167,16
P95,167,4
P96,169,29
P97,171,8
P98,171,8
P99,175,3
P100,175,24
