# Archivo de prueba — 50 procesos
# Formato: Nombre,TiempoLlegada,TiempoEjecucion

P1,2,5
P2,5,2
P3,5,18
P4,5,12
P5,5,17
P6,6,2
P7,6,14
P8,9,3
P9,10,3
P10,13,2
P11,13,8
P12,13,19
P13,16,2
P14,17,2
P15,18,10
P16,21,5
P17,21,19
P18,23,18
P19,24,4
P20,25,12
P21,25,18
P22,25,19
P23,25,20
P24,26,16
P25,29,11
P26,32,19
P27,35,12
P28,37,8
P29,38,8
P30,38,19
P31,40,17
P32,43,11
P33,46,10
P34,46,4
P35,49,6
P36,51,5
P37,54,14
P38,54,3
P39,56,11
P40,58,20
P41,61,19
P42,64,3
P43,64,9
P44,67,3
P45,67,10
P46,70,10
P47,73,12
P48,73,15
P49,75,6
P50,75,16
