# Archivo de prueba — 700 procesos
# Formato: Nombre,TiempoLlegada,TiempoRafaga
# Generado para CPU Proceso Dinamico — Prueba de escalabilidad

P1,3,5
P2,7,50
P3,8,9
P4,13,31
P5,17,11
P6,19,34
P7,23,28
P8,24,35
P9,29,45
P10,30,46
P11,32,26
P12,37,42
P13,39,29
P14,43,29
P15,43,16
P16,44,5
P17,46,2
P18,50,36
P19,51,38
P20,52,1
P21,52,46
P22,57,4
P23,58,5
P24,58,22
P25,58,33
P26,59,18
P27,64,32
P28,65,35
P29,66,47
P30,70,37
P31,73,16
P32,76,27
P33,77,7
P34,77,43
P35,80,23
P36,83,27
P37,86,47
P38,86,44
P39,91,42
P40,91,4
P41,94,47
P42,96,7
P43,97,13
P44,98,35
P45,101,9
P46,104,12
P47,106,30
P48,107,5
P49,110,36
P50,110,4
P51,115,35
P52,115,6
P53,116,11
P54,119,32
P55,122,14
P56,125,4
P57,126,25
P58,126,25
P59,128,30
P60,130,28
P61,135,47
P62,139,43
P63,144,32
P64,145,13
P65,147,14
P66,147,38
P67,152,35
P68,152,48
P69,154,4
P70,154,38
P71,157,33
P72,161,11
P73,161,33
P74,161,12
P75,161,39
P76,161,44
P77,162,26
P78,162,37
P79,163,38
P80,167,3
P81,171,6
P82,174,43
P83,178,37
P84,182,21
P85,184,14
P86,189,46
P87,191,16
P88,193,26
P89,194,43
P90,199,20
P91,202,21
P92,202,1
P93,205,40
P94,209,7
P95,209,35
P96,210,33
P97,212,9
P98,214,5
P99,215,24
P100,217,11
P101,220,35
P102,225,20
P103,229,42
P104,233,1
P105,238,36
P106,240,43
P107,240,9
P108,242,8
P109,242,48
P110,246,10
P111,248,19
P112,252,14
P113,257,22
P114,258,44
P115,263,17
P116,267,32
P117,269,4
P118,269,41
P119,272,18
P120,272,1
P121,274,50
P122,275,41
P123,277,11
P124,282,29
P125,286,46
P126,289,36
P127,289,8
P128,289,45
P129,290,35
P130,290,24
P131,294,36
P132,295,28
P133,296,3
P134,298,24
P135,298,23
P136,299,44
P137,300,43
P138,300,23
P139,304,27
P140,308,48
P141,309,16
P142,310,12
P143,313,2
P144,314,48
P145,316,27
P146,321,48
P147,322,18
P148,323,45
P149,323,25
P150,323,31
P151,324,13
P152,327,23
P153,329,15
P154,330,2
P155,335,13
P156,338,22
P157,340,5
P158,342,23
P159,347,33
P160,350,44
P161,354,22
P162,354,8
P163,356,12
P164,360,17
P165,360,7
P166,364,28
P167,366,47
P168,368,28
P169,372,33
P170,372,25
P171,376,13
P172,378,3
P173,383,28
P174,383,34
P175,387,44
P176,392,48
P177,397,43
P178,398,24
P179,401,5
P180,406,22
P181,410,21
P182,415,8
P183,420,20
P184,424,20
P185,429,27
P186,431,26
P187,436,19
P188,440,9
P189,441,27
P190,446,25
P191,451,48
P192,452,40
P193,456,20
P194,459,36
P195,459,20
P196,461,14
P197,464,38
P198,468,42
P199,470,30
P200,473,29
P201,478,14
P202,482,31
P203,487,11
P204,492,6
P205,494,33
P206,499,41
P207,503,22
P208,503,49
P209,504,44
P210,506,15
P211,507,10
P212,507,3
P213,508,31
P214,512,50
P215,512,30
P216,515,41
P217,519,13
P218,524,45
P219,527,32
P220,530,16
P221,531,42
P222,536,1
P223,536,50
P224,539,15
P225,540,45
P226,544,30
P227,544,36
P228,545,8
P229,548,9
P230,551,43
P231,555,36
P232,559,21
P233,562,40
P234,567,33
P235,570,36
P236,573,11
P237,578,31
P238,581,17
P239,582,41
P240,584,50
P241,588,32
P242,593,16
P243,595,29
P244,595,46
P245,597,16
P246,599,22
P247,601,35
P248,601,9
P249,602,15
P250,605,45
P251,606,46
P252,607,5
P253,610,27
P254,612,35
P255,615,27
P256,615,14
P257,618,25
P258,622,45
P259,622,49
P260,626,25
P261,629,1
P262,631,20
P263,634,27
P264,638,48
P265,643,35
P266,647,15
P267,650,15
P268,652,28
P269,655,2
P270,658,22
P271,663,44
P272,666,47
P273,667,30
P274,668,40
P275,672,2
P276,675,38
P277,679,43
P278,679,6
P279,684,28
P280,685,30
P281,686,4
P282,688,25
P283,690,14
P284,693,21
P285,695,49
P286,698,18
P287,701,17
P288,701,31
P289,701,48
P290,705,4
P291,707,15
P292,712,5
P293,717,3
P294,717,16
P295,718,2
P296,722,10
P297,723,9
P298,726,43
P299,726,37
P300,727,30
P301,732,17
P302,734,11
P303,738,39
P304,743,46
P305,743,50
P306,744,20
P307,744,38
P308,744,20
P309,748,44
P310,751,26
P311,756,13
P312,756,38
P313,761,41
P314,762,7
P315,767,50
P316,769,44
P317,773,8
P318,777,3
P319,779,35
P320,782,43
P321,784,5
P322,788,42
P323,790,1
P324,793,32
P325,793,28
P326,795,41
P327,798,46
P328,799,28
P329,800,47
P330,804,42
P331,806,40
P332,810,50
P333,813,30
P334,816,47
P335,820,18
P336,822,16
P337,822,18
P338,825,16
P339,828,37
P340,832,43
P341,835,22
P342,835,32
P343,837,12
P344,840,14
P345,842,17
P346,844,18
P347,848,45
P348,850,36
P349,850,34
P350,851,6
P351,852,47
P352,855,32
P353,859,49
P354,860,45
P355,863,42
P356,868,32
P357,871,2
P358,871,19
P359,872,26
P360,877,16
P361,879,43
P362,883,24
P363,886,36
P364,890,23
P365,893,48
P366,897,22
P367,899,45
P368,902,18
P369,904,17
P370,905,8
P371,910,13
P372,912,8
P373,917,35
P374,922,12
P375,923,14
P376,928,31
P377,930,47
P378,934,49
P379,938,39
P380,940,7
P381,941,19
P382,942,24
P383,943,20
P384,943,46
P385,947,9
P386,949,3
P387,949,36
P388,951,45
P389,952,41
P390,955,7
P391,955,37
P392,957,31
P393,960,29
P394,962,12
P395,962,17
P396,965,8
P397,965,26
P398,968,5
P399,972,41
P400,977,4
P401,978,10
P402,982,20
P403,982,16
P404,982,36
P405,985,39
P406,989,40
P407,990,50
P408,994,25
P409,997,29
P410,999,38
P411,1002,20
P412,1006,40
P413,1006,40
P414,1011,7
P415,1012,41
P416,1013,17
P417,1018,6
P418,1019,16
P419,1020,36
P420,1020,11
P421,1020,27
P422,1023,45
P423,1027,31
P424,1029,3
P425,1030,19
P426,1035,19
P427,1040,30
P428,1040,44
P429,1041,17
P430,1046,38
P431,1051,13
P432,1054,8
P433,1058,15
P434,1063,10
P435,1065,10
P436,1065,4
P437,1066,20
P438,1070,48
P439,1074,19
P440,1077,8
P441,1080,45
P442,1082,45
P443,1085,18
P444,1089,35
P445,1092,29
P446,1092,39
P447,1092,28
P448,1097,21
P449,1101,17
P450,1101,6
P451,1102,44
P452,1106,38
P453,1106,49
P454,1111,18
P455,1115,3
P456,1116,31
P457,1120,42
P458,1123,18
P459,1124,38
P460,1127,41
P461,1130,6
P462,1133,23
P463,1136,22
P464,1138,43
P465,1138,11
P466,1140,27
P467,1145,32
P468,1147,43
P469,1150,49
P470,1154,3
P471,1157,6
P472,1159,17
P473,1161,8
P474,1164,33
P475,1164,43
P476,1168,30
P477,1171,4
P478,1172,34
P479,1174,40
P480,1177,41
P481,1180,49
P482,1180,14
P483,1182,36
P484,1183,19
P485,1186,45
P486,1189,8
P487,1189,41
P488,1193,16
P489,1198,11
P490,1200,36
P491,1200,36
P492,1203,6
P493,1204,8
P494,1207,8
P495,1212,10
P496,1215,46
P497,1217,33
P498,1222,18
P499,1225,31
P500,1228,16
P501,1231,36
P502,1232,25
P503,1233,39
P504,1237,48
P505,1238,5
P506,1240,50
P507,1243,22
P508,1247,18
P509,1247,19
P510,1252,20
P511,1256,38
P512,1261,32
P513,1262,29
P514,1266,31
P515,1268,22
P516,1272,49
P517,1276,25
P518,1279,21
P519,1280,45
P520,1281,37
P521,1284,15
P522,1287,3
P523,1289,48
P524,1292,46
P525,1295,25
P526,1300,42
P527,1301,32
P528,1301,9
P529,1305,38
P530,1307,7
P531,1310,7
P532,1314,30
P533,1314,47
P534,1315,27
P535,1320,10
P536,1320,31
P537,1322,22
P538,1326,45
P539,1329,42
P540,1329,22
P541,1334,35
P542,1337,21
P543,1342,46
P544,1345,35
P545,1345,40
P546,1345,16
P547,1350,44
P548,1352,15
P549,1357,6
P550,1360,7
P551,1365,46
P552,1365,29
P553,1366,45
P554,1368,2
P555,1368,21
P556,1368,19
P557,1370,24
P558,1373,10
P559,1374,34
P560,1377,37
P561,1382,12
P562,1383,12
P563,1383,40
P564,1386,40
P565,1391,16
P566,1394,38
P567,1395,15
P568,1398,41
P569,1400,30
P570,1402,43
P571,1402,30
P572,1404,44
P573,1408,11
P574,1408,29
P575,1410,38
P576,1412,41
P577,1415,45
P578,1417,30
P579,1419,13
P580,1422,31
P581,1422,16
P582,1425,37
P583,1427,37
P584,1429,45
P585,1431,2
P586,1436,26
P587,1438,1
P588,1442,44
P589,1447,4
P590,1451,48
P591,1454,19
P592,1455,39
P593,1457,15
P594,1462,13
P595,1466,17
P596,1471,49
P597,1476,50
P598,1481,44
P599,1482,41
P600,1482,41
P601,1487,3
P602,1489,29
P603,1489,38
P604,1491,47
P605,1492,6
P606,1494,21
P607,1499,27
P608,1500,13
P609,1501,35
P610,1503,34
P611,1507,18
P612,1508,17
P613,1511,19
P614,1516,22
P615,1516,30
P616,1516,10
P617,1517,44
P618,1522,44
P619,1525,36
P620,1527,6
P621,1530,1
P622,1532,35
P623,1532,30
P624,1534,44
P625,1539,44
P626,1541,38
P627,1544,41
P628,1546,7
P629,1551,15
P630,1554,2
P631,1558,36
P632,1560,40
P633,1561,42
P634,1561,41
P635,1564,45
P636,1566,42
P637,1569,8
P638,1570,3
P639,1570,20
P640,1573,8
P641,1573,16
P642,1577,9
P643,1580,30
P644,1582,43
P645,1587,45
P646,1591,27
P647,1595,48
P648,1600,10
P649,1603,42
P650,1603,32
P651,1607,27
P652,1609,3
P653,1614,24
P654,1615,29
P655,1618,16
P656,1620,7
P657,1625,24
P658,1629,42
P659,1631,4
P660,1634,18
P661,1635,8
P662,1638,6
P663,1643,14
P664,1648,41
P665,1652,2
P666,1652,22
P667,1653,9
P668,1657,14
P669,1657,49
P670,1661,14
P671,1665,14
P672,1666,22
P673,1667,39
P674,1667,18
P675,1668,9
P676,1672,17
P677,1673,8
P678,1678,2
P679,1679,1
P680,1681,16
P681,1685,21
P682,1685,12
P683,1687,4
P684,1688,48
P685,1691,34
P686,1691,48
P687,1691,31
P688,1694,50
P689,1696,33
P690,1700,7
P691,1703,33
P692,1704,40
P693,1704,47
P694,1709,34
P695,1711,30
P696,1716,2
P697,1716,31
P698,1719,28
P699,1724,7
P700,1727,46
